"Source:","C:\Users\Evan\repositories\personal\wordclock\schematics\wordclock\wordclock.kicad_sch"
"Date:","10/8/2022 11:49:11 AM"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","3"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"BT1, ","1","3v","Battery_Cell","","Single-cell battery",""
"D1, ","1","red","LED","","Light emitting diode",""
"R1, ","1","1k","R","","Resistor",""
